step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
438,0.00365,1.0,,
439,0.00322,1.0,,
440,0.00496,1.0,,
441,0.00555,1.0,,
442,0.06569,1.0,,
443,0.01643,1.0,,
444,0.00347,1.0,,
445,0.95035,0.77778,,
446,0.00254,1.0,,
447,0.61206,0.88889,,
448,0.00223,1.0,,
449,0.00237,1.0,,
450,0.42233,0.88889,,
451,0.00319,1.0,,
452,0.97651,0.77778,,
453,0.53668,0.88889,,
454,0.00793,1.0,,
455,0.02988,1.0,,
456,0.34005,0.88889,,
457,0.0006,1.0,,
458,0.57064,0.88889,,
459,0.06657,1.0,,
460,0.00253,1.0,,
461,0.00506,1.0,,
462,0.84223,0.77778,,
463,0.44904,0.88889,,
464,0.00599,1.0,,
465,0.00716,1.0,,
466,0.06815,1.0,,
467,0.00329,1.0,,
468,0.53056,0.88889,,
469,0.00273,1.0,,
470,0.4508,0.88889,,
471,0.5299,0.88889,,
472,0.51099,0.88889,,
473,0.00214,1.0,,
474,0.50467,0.88889,,
475,0.36728,0.88889,,
476,0.00489,1.0,,
477,0.00855,1.0,,
478,0.47665,0.88889,,
479,0.0024,1.0,,
480,0.0015,1.0,,
481,0.0938,1.0,,
482,0.66777,0.88889,,
483,0.97547,0.77778,,
484,0.53023,0.88889,,
485,0.00314,1.0,,
486,0.00187,1.0,,
487,0.00434,1.0,,
488,0.00542,1.0,,
489,0.62547,0.88889,,
490,0.58464,0.88889,,
491,0.44662,0.88889,,
492,0.00923,1.0,,
493,0.00509,1.0,,
494,0.00228,1.0,,
495,0.00154,1.0,,
496,0.00165,1.0,,
497,0.01475,1.0,,
498,0.00285,1.0,,
499,0.00178,1.0,,
500,0.1099,0.88889,,
501,0.23748,0.88889,,
502,0.68058,0.77778,,
503,0.34893,0.88889,,
504,0.01889,1.0,,
505,0.00684,1.0,,
506,0.68314,0.77778,,
507,0.01241,1.0,,
508,0.56131,0.88889,,
509,0.00659,1.0,,
510,0.47536,0.88889,,
511,0.00236,1.0,,
512,1.55879,0.66667,,
513,0.50434,0.88889,,
514,0.00396,1.0,,
515,0.56295,0.88889,,
516,0.00315,1.0,,
517,0.44851,0.88889,,
518,0.0031,1.0,,
519,0.00316,1.0,,
520,0.47582,0.88889,,
521,0.47785,0.88889,,
522,0.3684,0.88889,,
523,0.00354,1.0,,
524,0.43674,0.88889,,
525,0.0583,1.0,,
526,0.02258,1.0,,
527,0.00433,1.0,,
528,0.45212,0.88889,,
529,0.00804,1.0,,
530,0.06871,1.0,,
531,0.0187,1.0,,
532,0.52115,0.88889,,
533,1.25837,0.66667,,
534,0.00287,1.0,,
535,0.11151,0.88889,,
536,0.0931,0.88889,,
537,0.01922,1.0,,
538,0.00641,1.0,,
539,0.6685,0.88889,,
540,0.54483,0.88889,,
541,0.81487,0.77778,,
542,0.00586,1.0,,
543,0.00326,1.0,,
544,0.59285,0.88889,,
545,0.00308,1.0,,
546,0.69833,0.88889,,
547,0.5313,0.88889,,
548,0.69698,0.77778,,
549,0.057,1.0,,
550,0.5918,0.88889,,
551,0.10081,0.88889,,
552,0.45285,0.88889,,
553,0.0056,1.0,,
